tid	ø…º«≥ªøÎ	∞©ø ªÛ√º	∞©ø «œ√º	π´±‚	πÊ∆–	≈ı±∏	π›¡ˆ	∏Ò∞…¿Ã	Ω≈πﬂ	¿Â∞©	Type	PointType	Level_limit	Rank_limit	»Æ∑¸	Skill_level	Skill_id	ATK_Range_bonus	ATK_Speed_bonus	Movement_Run_bonus	PhysicalDamage	PhysicalAttackResist	SkillBlockRate	MagicDamage	WaterDamage	FireDamage	EarthDamage	AirDamage	PoisonDamage	IceDamage	LinghtningDamage	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Hp_Bonus_Point	Mp_Bonus_Point	Hp_Bonus_Percent	Mp_Bonus_Percent	Str_Bonus_Point	Dex_Bonus_Point	Int_Bonus_Point	Con_Bonus_Point	Wis_Bonus_Point	PhysicalRank	skill_type	duration	skill_rate	Critical	stun_time	damage_convert_hp	regen_hp	dot_damage_time	skill_cast	skill_delay	skill_levelup	bonus_exp	bonus_money	bonus_drop_rate	evade_rate	dodge_rate	visible	Level_min	Level_max	Link_id
55	Strength +5						O				10		1	1	80																																									5																						°€			
56	Strength +6						O				10		1	1	60																																									6																						°€			
57	Strength +7						O				10		1	1	40																																									7																						°€			
58	Strength +8						O				10		1	1	20																																									8																						°€			
59	Strength +9						O				10		1	1	10																																									9																						°€			
60	Strength +10						O				10		1	1	5																																									10																						°€			
61	Agility +1						O				11		1	1	500																																										1																					°€			
62	Agility +2						O				11		1	1	400																																										2																					°€			
63	Agility +3						O				11		1	1	150																																										3																					°€			
64	Agility +4						O				11		1	1	100																																										4																					°€			
65	Agility +5						O				11		1	1	80																																										5																					°€			
66	Agility +6						O				11		1	1	60																																										6																					°€			
67	Agility +7						O				11		1	1	40																																										7																					°€			
68	Agility +8						O				11		1	1	20																																										8																					°€			
69	Agility +9						O				11		1	1	10																																										9																					°€			
70	Agility +10						O				11		1	1	5																																										10																					°€			
71	Intelligence +1						O				12		1	1	500																																											1																				°€			
72	Intelligence +2						O				12		1	1	400																																											2																				°€			
73	Intelligence +3						O				12		1	1	150																																											3																				°€			
74	Intelligence +4						O				12		1	1	100																																											4																				°€			
75	Intelligence +5						O				12		1	1	80																																											5																				°€			
76	Intelligence +6						O				12		1	1	60																																											6																				°€			
77	Intelligence +7						O				12		1	1	40																																											7																				°€			
78	Intelligence +8						O				12		1	1	20																																											8																				°€			
79	Intelligence +9						O				12		1	1	10																																											9																				°€			
80	Intelligence +10						O				12		1	1	5																																											10																				°€			
81	Stamina +1						O				13		1	1	500																																												1																			°€			
82	Stamina +2						O				13		1	1	400																																												2																			°€			
83	Stamina +3						O				13		1	1	100																																												3																			°€			
84	Stamina +4						O				13		1	1	50																																												4																			°€			
85	Stamina +5						O				13		1	1	10																																												5																			°€			
86	Stamina +6						O				13		1	1	5																																												6																			°€			
87	Stamina +7						O				13		1	1	4																																												7																			°€			
88	Stamina +8						O				13		1	1	3																																												8																			°€			
89	Stamina +9						O				13		1	1	2																																												9																			°€			
90	Stamina +10						O				13		1	1	1																																												10																			°€			
91	Wisdom +1						O				14		1	1	500																																													1																		°€			
92	Wisdom +2						O				14		1	1	400																																													2																		°€			
93	Wisdom +3						O				14		1	1	150																																													3																		°€			
94	Wisdom +4						O				14		1	1	100																																													4																		°€			
95	Wisdom +5						O				14		1	1	80																																													5																		°€			
96	Wisdom +6						O				14		1	1	60																																													6																		°€			
97	Wisdom +7						O				14		1	1	40																																													7																		°€			
98	Wisdom +8						O				14		1	1	20																																													8																		°€			
99	Wisdom +9						O				14		1	1	10																																													9																		°€			
100	Wisdom +10						O				14		1	1	5																																													10																		°€			
101	Armour +1	O	O								15		1	1	450																									1																																						°€			
102	Armour +2	O	O								15		1	1	400																									2																																						°€			
103	Armour +3	O	O								15		1	1	100																									3																																						°€			
104	Armour +4	O	O								15		1	1	40																									4																																						°€			
105	Armour +5	O	O								15		1	1	10																									5																																						°€			
106	Armour +6	O	O								15		1	1	5																									6																																						°€			
107	Armour +7	O	O								15		1	1	4																									7																																						°€			
108	Armour +8	O	O								15		1	1	3																									8																																						°€			
109	Armour +9	O	O								15		1	1	2																									9																																						°€			
110	Armour +10	O	O								15		1	1	1																									10																																						°€			
111	Attack Rating +1			O		O				O	16		1	1	500																										1																																					°€			
112	Attack Rating +2			O		O				O	16		1	1	400																										2																																					°€			
113	Attack Rating +3			O		O				O	16		1	1	100																										3																																					°€			
114	Attack Rating +4			O		O				O	16		1	1	50																										4																																					°€			
115	Attack Rating +5			O		O				O	16		1	1	5																										5																																					°€			
116	Block +1%				O				O		17		1	1	500																												1																																			°€			
117	Block +2%				O				O		17		1	1	400																												2																																			°€			
118	Block +3%				O				O		17		1	1	100																												3																																			°€			
119	Block +4%				O				O		17		1	1	50																												4																																			°€			
120	Block +5%				O				O		17		1	1	5																												5																																			°€			
121	Rank -1	O	O	O	O	O			O	O	18		1	1	0																																														-1																				
122	Rank +1	O	O	O	O	O			O	O	18		1	1	0																																														1																				
123	Rank +2	O	O	O	O	O			O	O	18		1	1	0																																														2																				
124	Rank +3	O	O	O	O	O			O	O	18		1	1	0																																														3																				
125	Prismatic Damage +2			O							21		1	1	100									2	2	2	2	2																																																		°€			
126	Prismatic Damage +4			O							21		1	1	50									4	4	4	4	4																																																		°€			
127	Prismatic Damage +6			O							21		1	1	5									6	6	6	6	6																																																		°€			
128	Prismatic Resistance +2%					O		O			20		1	1	100																													2	2	2	2	2																														°€			
129	Prismatic Resistance +4%					O		O			20		1	1	50																													4	4	4	4	4																														°€			
130	Prismatic Resistance +6%					O		O			20		1	1	5																													6	6	6	6	6																														°€			
131	Primary Attributes +2					O		O			19		1	1	400																																									2	2	2	2	2																		°€			
132	Primary Attributes +4					O		O			19		1	1	100																																									4	4	4	4	4																		°€			
133	Primary Attributes +6					O		O			19		1	1	50																																									6	6	6	6	6																		°€			
134	Primary Attributes +8					O		O			19		1	1	5																																									8	8	8	8	8																		°€			
135	Maximum Health +10%										6	1	1	1																																								10																								°€			
136	Prismatic Resistance +10%										20		1	1																														10	10	10	10	10																														°€			
137	Movement Speed increased by +10%										8	1	1	1						10																																																										°€			
138	Attack Speed +10%										9	1	1	1					10																																																											°€			
1001	Weapon Damage +1			O			O	O			1		1	1							1																																																									°€			
1002	Weapon Damage +3			O			O	O			1		1	1							3																																																									°€			
1003	Weapon Damage +5			O			O	O			1		1	1							5																																																									°€			
1004	Weapon Damage +6			O			O	O			1		1	1							6																																																									°€			
1005	Weapon Damage +7			O			O	O			1		1	1							7																																																									°€			
1006	Weapon Damage +8			O			O	O			1		1	1							8																																																									°€			
1007	Weapon Damage +9			O			O	O			1		1	1							9																																																									°€			
1008	Weapon Damage +10			O			O	O			1		1	1							10																																																									°€			
1009	Weapon Damage +11			O			O	O			1		1	1							11																																																									°€			
1010	Weapon Damage +12			O			O	O			1		1	1							12																																																									°€			
1011	Weapon Damage +13			O			O	O			1		1	1							13																																																									°€			
1012	Weapon Damage +14			O			O	O			1		1	1							14																																																									°€			
1013	Armour +6			O			O	O			15		1	1																										6																																						°€			
1014	Armour +7			O			O	O			15		1	1																										7																																						°€			
1015	Armour +8			O			O	O			15		1	1																										8																																						°€			
1016	Armour +9			O			O	O			15		1	1																										9																																						°€			
1017	Armour +10			O			O	O			15		1	1																										10																																						°€			
1018	Armour +11			O			O	O			15		1	1																										11																																						°€			
1019	Armour +12			O			O	O			15		1	1																										12																																						°€			
1020	Armour +13			O			O	O			15		1	1																										13																																						°€			
1021	Armour +14			O			O	O			15		1	1																										14																																						°€			
1022	Wisdom +1			O			O	O			14		1	1																																														1																		°€			
1023	Wisdom +3			O			O	O			14		1	1																																														3																		°€			
1024	Wisdom +5			O			O	O			14		1	1																																														5																		°€			
1025	Wisdom +6			O			O	O			14		1	1																																														6																		°€			
1026	Wisdom +7			O			O	O			14		1	1																																														7																		°€			
1027	Wisdom +8			O			O	O			14		1	1																																														8																		°€			
1028	Wisdom +9			O			O	O			14		1	1																																														9																		°€			
1029	Wisdom +10			O			O	O			14		1	1																																														10																		°€			
1030	Wisdom +11			O			O	O			14		1	1																																														11																		°€			
1031	Wisdom +12			O			O	O			14		1	1																																														12																		°€			
1032	Wisdom +13			O			O	O			14		1	1																																														13																		°€			
1033	Wisdom +14			O			O	O			14		1	1																																														14																		°€			
1034	Strength +6			O			O	O			10		1	1																																										6																						°€			
1035	Strength +7			O			O	O			10		1	1																																										7																						°€			
1036	Strength +8			O			O	O			10		1	1																																										8																						°€			
1037	Strength +9			O			O	O			10		1	1																																										9																						°€			
1038	Strength +10			O			O	O			10		1	1																																										10																						°€			
1039	Strength +11			O			O	O			10		1	1																																										11																						°€			
1040	Strength +12			O			O	O			10		1	1																																										12																						°€			
1041	Strength +13			O			O	O			10		1	1																																										13																						°€			
1042	Strength +14			O			O	O			10		1	1																																										14																						°€			
1043	Intelligence +1			O			O	O			12		1	1																																												1																				°€			
1044	Intelligence +3			O			O	O			12		1	1																																												3																				°€			
1045	Intelligence +5			O			O	O			12		1	1																																												5																				°€			
1046	Intelligence +6			O			O	O			12		1	1																																												6																				°€			
1047	Intelligence +7			O			O	O			12		1	1																																												7																				°€			
1048	Intelligence +8			O			O	O			12		1	1																																												8																				°€			
1049	Intelligence +9			O			O	O			12		1	1																																												9																				°€			
1050	Intelligence +10			O			O	O			12		1	1																																												10																				°€			
1051	Intelligence +11			O			O	O			12		1	1																																												11																				°€			
1052	Intelligence +12			O			O	O			12		1	1																																												12																				°€			
1053	Intelligence +13			O			O	O			12		1	1																																												13																				°€			
1054	Intelligence +14			O			O	O			12		1	1																																												14																				°€			
1055	Agility +6			O			O	O			11		1	1																																											6																					°€			
1056	Agility +7			O			O	O			11		1	1																																											7																					°€			
1057	Agility +8			O			O	O			11		1	1																																											8																					°€			
1058	Agility +9			O			O	O			11		1	1																																											9																					°€			
1059	Agility +10			O			O	O			11		1	1																																											10																					°€			
1060	Agility +11			O			O	O			11		1	1																																											11																					°€			
1061	Agility +12			O			O	O			11		1	1																																											12																					°€			
1062	Agility +13			O			O	O			11		1	1																																											13																					°€			
1063	Agility +14			O			O	O			11		1	1																																											14																					°€			
1064	Stamina +1			O			O	O			13		1	1																																													1																			°€			
1065	Stamina +3			O			O	O			13		1	1																																													3																			°€			
1066	Stamina +5			O			O	O			13		1	1																																													5																			°€			
1067	Stamina +7			O			O	O			13		1	1																																													7																			°€			
1068	Stamina +9			O			O	O			13		1	1																																													9																			°€			
1069	Primary Attributes +2			O			O	O			19		1	1																																										2	2	2	2	2																		°€			
1070	Primary Attributes +3			O			O	O			19		1	1																																										3	3	3	3	3																		°€			
1071	Primary Attributes +4			O			O	O			19		1	1																																										4	4	4	4	4																		°€			
1072	Primary Attributes +5			O			O	O			19		1	1																																										5	5	5	5	5																		°€			
1073	Primary Attributes +6			O			O	O			19		1	1																																										6	6	6	6	6																		°€			
1074	Prismatic Resistance +10%			O			O	O			20		1	1																														10	10	10	10	10																														°€			
1075	Prismatic Resistance +15%			O			O	O			20		1	1																														15	15	15	15	15																														°€			
1076	Prismatic Resistance +20%			O			O	O			20		1	1																														20	20	20	20	20																														°€			
1077	Prismatic Resistance +25%			O			O	O			20		1	1																														25	25	25	25	25																														°€			
1078	Prismatic Resistance +30%			O			O	O			20		1	1																														30	30	30	30	30																														°€			
1079	Maximum Mana +60			O			O	O			7		1	1																																							60																									°€			
1080	Maximum Mana +70			O			O	O			7		1	1																																							70																									°€			
1081	Attack Speed +1%			O			O	O			9	1	1	1					1																																																											°€			
1082	Attack Speed +2%			O			O	O			9	1	1	1					2																																																											°€			
1083	Attack Speed +4%			O			O	O			9	1	1	1					4																																																											°€			
1084	Attack Speed +6%			O			O	O			9	1	1	1					6																																																											°€			
1085	Attack Speed +7%			O			O	O			9	1	1	1					7																																																											°€			
1086	Attack Rating +6			O			O	O			16		1	1																											6																																					°€			
1087	Attack Rating +7			O			O	O			16		1	1																											7																																					°€			
1088	Weapon Damage +4			O			O	O			1		1	1							4																																																									°€			
1089	Armour +3			O			O	O			15		1	1																										3																																						°€			
1090	Armour +4			O			O	O			15		1	1																										4																																						°€			
1091	Armour +5			O			O	O			15		1	1																										5																																						°€			
1092	Primary Attributes +7			O			O	O			19		1	1																																										7	7	7	7	7																		°€			
1093	Primary Attributes +8			O			O	O			19		1	1																																										8	8	8	8	8																		°€			
1094	Primary Attributes +9			O			O	O			19		1	1																																										9	9	9	9	9																		°€			
1095	Primary Attributes +10			O			O	O			19		1	1																																										10	10	10	10	10																		°€			
1096	Prismatic Resistance +2%			O			O	O			20		1	1																														2	2	2	2	2																														°€			
1097	Prismatic Resistance +3%			O			O	O			20		1	1																														3	3	3	3	3																														°€			
1098	Prismatic Resistance +4%			O			O	O			20		1	1																														4	4	4	4	4																														°€			
1099	Prismatic Resistance +5%			O			O	O			20		1	1																														5	5	5	5	5																														°€			
1100	Prismatic Resistance +6%			O			O	O			20		1	1																														6	6	6	6	6																														°€			
1101	Prismatic Resistance +7%			O			O	O			20		1	1																														7	7	7	7	7																														°€			
1102	Prismatic Resistance +8%			O			O	O			20		1	1																														8	8	8	8	8																														°€			
1103	Prismatic Resistance +9%			O			O	O			20		1	1																														9	9	9	9	9																														°€			
1104	Prismatic Resistance +10%			O			O	O			20		1	1																														10	10	10	10	10																														°€			
1105	Prismatic Damage +2			O			O	O			21		1	1										2	2	2	2	2																																																		°€			
1106	Prismatic Damage +3			O			O	O			21		1	1										3	3	3	3	3																																																		°€			
1107	Prismatic Damage +4			O			O	O			21		1	1										4	4	4	4	4																																																		°€			
1108	Prismatic Damage +5			O			O	O			21		1	1										5	5	5	5	5																																																		°€			
1109	Prismatic Damage +6			O			O	O			21		1	1										6	6	6	6	6																																																		°€			
1110	Prismatic Damage +7			O			O	O			21		1	1										7	7	7	7	7																																																		°€			
1111	Prismatic Damage +8			O			O	O			21		1	1										8	8	8	8	8																																																		°€			
1112	Prismatic Damage +9			O			O	O			21		1	1										9	9	9	9	9																																																		°€			
1113	Prismatic Damage +10			O			O	O			21		1	1										10	10	10	10	10																																																		°€			
2001	Weapon Damage +4										1										4																																																									°€	1	10	1
2002	Weapon Damage +6										1										6																																																									°€	11	20	1
2003	Weapon Damage +8										1										8																																																									°€	21	30	1
2004	Weapon Damage +10										1										10																																																									°€	31	40	1
2005	Weapon Damage +12										1										12																																																									°€	41	50	1
2006	Weapon Damage +14										1										14																																																									°€	51	60	1
2007	Weapon Damage +16										1										16																																																									°€	61	70	1
2008	Weapon Damage +18										1										18																																																									°€	71	80	1
2009	Weapon Damage +20										1										20																																																									°€	81	90	1
2010	Weapon Damage +22										1										22																																																									°€	91	99	1
2011	Fortitude +2%										2											2																																																								°€	1	10	2
2012	Fortitude +3%										2											3																																																								°€	11	20	2
2013	Fortitude +4%										2											4																																																								°€	21	30	2
2014	Fortitude +5%										2											5																																																								°€	31	40	2
2015	Fortitude +6%										2											6																																																								°€	41	50	2
2016	Fortitude +7%										2											7																																																								°€	51	60	2
2017	Fortitude +8%										2											8																																																								°€	61	70	2
2018	Fortitude +9%										2											9																																																								°€	71	80	2
2019	Fortitude +10%										2											10																																																								°€	81	90	2
2020	Fortitude +11%										2											11																																																								°€	91	99	2
2021	Discipline +2%										3												2																																																							°€	1	10	3
2022	Discipline +3%										3												3																																																							°€	11	20	3
2023	Discipline +4%										3												4																																																							°€	21	30	3
2024	Discipline +5%										3												5																																																							°€	31	40	3
2025	Discipline +6%										3												6																																																							°€	41	50	3
2026	Discipline +7%										3												7																																																							°€	51	60	3
2027	Discipline +8%										3												8																																																							°€	61	70	3
2028	Discipline +9%										3												9																																																							°€	71	80	3
2029	Discipline +10%										3												10																																																							°€	81	90	3
2030	Discipline +11%										3												11																																																							°€	91	99	3
2031	Maximum Health +10										4																																									10																										°€	1	10	4
2032	Maximum Health +20										4																																									20																										°€	11	20	4
2033	Maximum Health +30										4																																									30																										°€	21	30	4
2034	Maximum Health +40										4																																									40																										°€	31	40	4
2035	Maximum Health +50										4																																									50																										°€	41	50	4
2036	Maximum Health +60										4																																									60																										°€	51	60	4
2037	Maximum Health +70										4																																									70																										°€	61	70	4
2038	Maximum Health +80										4																																									80																										°€	71	80	4
2039	Maximum Health +90										4																																									90																										°€	81	90	4
2040	Maximum Health +100										4																																									100																										°€	91	99	4
2041	Maximum Mana +10										5																																										10																									°€	1	10	5
2042	Maximum Mana +20										5																																										20																									°€	11	20	5
2043	Maximum Mana +30										5																																										30																									°€	21	30	5
2044	Maximum Mana +40										5																																										40																									°€	31	40	5
2045	Maximum Mana +50										5																																										50																									°€	41	50	5
2046	Maximum Mana +60										5																																										60																									°€	51	60	5
2047	Maximum Mana +70										5																																										70																									°€	61	70	5
2048	Maximum Mana +80										5																																										80																									°€	71	80	5
2049	Maximum Mana +90										5																																										90																									°€	81	90	5
2050	Maximum Mana +100										5																																										100																									°€	91	99	5
2051	Maximum Health +4%										6	1																																										4																								°€	1	10	6
2052	Maximum Health +5%										6	1																																										5																								°€	11	20	6
2053	Maximum Health +6%										6	1																																										6																								°€	21	30	6
2054	Maximum Health +7%										6	1																																										7																								°€	31	40	6
2055	Maximum Health +8%										6	1																																										8																								°€	41	50	6
2056	Maximum Health +9%										6	1																																										9																								°€	51	60	6
2057	Maximum Health +10%										6	1																																										10																								°€	61	70	6
2058	Maximum Health +11%										6	1																																										11																								°€	71	80	6
2059	Maximum Health +12%										6	1																																										12																								°€	81	90	6
2060	Maximum Health +13%										6	1																																										13																								°€	91	99	6
2061	Maximum Mana +4%										7	1																																											4																							°€	1	10	7
2062	Maximum Mana +5%										7	1																																											5																							°€	11	20	7
2063	Maximum Mana +6%										7	1																																											6																							°€	21	30	7
2064	Maximum Mana +7%										7	1																																											7																							°€	31	40	7
2065	Maximum Mana +8%										7	1																																											8																							°€	41	50	7
2066	Maximum Mana +9%										7	1																																											9																							°€	51	60	7
2067	Maximum Mana +10%										7	1																																											10																							°€	61	70	7
2068	Maximum Mana +11%										7	1																																											11																							°€	71	80	7
2069	Maximum Mana +12%										7	1																																											12																							°€	81	90	7
2070	Maximum Mana +13%										7	1																																											13																							°€	91	99	7
2071	Movement Speed increased by +1%										8	1								1																																																										°€	1	10	8
2072	Movement Speed increased by +2%										8	1								2																																																										°€	11	20	8
2073	Movement Speed increased by +3%										8	1								3																																																										°€	21	30	8
2074	Movement Speed increased by +4%										8	1								4																																																										°€	31	40	8
2075	Movement Speed increased by +5%										8	1								5																																																										°€	41	50	8
2076	Movement Speed increased by +6%										8	1								6																																																										°€	51	60	8
2077	Movement Speed increased by +7%										8	1								7																																																										°€	61	70	8
2078	Movement Speed increased by +8%										8	1								8																																																										°€	71	80	8
2079	Movement Speed Increased By +9%										8	1								9																																																										°€	81	90	8
2080	Movement Speed increased by +10%										8	1								10																																																										°€	91	99	8
2081	Attack Speed +1%										9	1							1																																																											°€	1	10	9
2082	Attack Speed +2%										9	1							2																																																											°€	11	20	9
2083	Attack Speed +3%										9	1							3																																																											°€	21	30	9
2084	Attack Speed +4%										9	1							4																																																											°€	31	40	9
2085	Attack Speed +5%										9	1							5																																																											°€	41	50	9
2086	Attack Speed +6%										9	1							6																																																											°€	51	60	9
2087	Attack Speed +7%										9	1							7																																																											°€	61	70	9
2088	Attack Speed +8%										9	1							8																																																											°€	71	80	9
2089	Attack Speed +9%										9	1							9																																																											°€	81	90	9
2090	Attack Speed +10%										9	1							10																																																											°€	91	99	9
2091	Armour +4										15																													4																																						°€	1	10	15
2092	Armour +6										15																													6																																						°€	11	20	15
2093	Armour +8										15																													8																																						°€	21	30	15
2094	Armour +10										15																													10																																						°€	31	40	15
2095	Armour +12										15																													12																																						°€	41	50	15
2096	Armour +14										15																													14																																						°€	51	60	15
2097	Armour +16										15																													16																																						°€	61	70	15
2098	Armour +18										15																													18																																						°€	71	80	15
2099	Armour +20										15																													20																																						°€	81	90	15
2100	Armour +22										15																													22																																						°€	91	99	15
2101	Attack Rating +4										16																														4																																					°€	1	10	16
2102	Attack Rating +6										16																														6																																					°€	11	20	16
2103	Attack Rating +8										16																														8																																					°€	21	30	16
2104	Attack Rating +10										16																														10																																					°€	31	40	16
2105	Attack Rating +12										16																														12																																					°€	41	50	16
2106	Attack Rating +14										16																														14																																					°€	51	60	16
2107	Attack Rating +16										16																														16																																					°€	61	70	16
2108	Attack Rating +18										16																														18																																					°€	71	80	16
2109	Attack Rating +20										16																														20																																					°€	81	90	16
2110	Attack Rating +22										16																														22																																					°€	91	99	16
2111	Block +2%										17																																2																																			°€	1	10	17
2112	Block +3%										17																																3																																			°€	11	20	17
2113	Block +4%										17																																4																																			°€	21	30	17
2114	Block +5%										17																																5																																			°€	31	40	17
2115	Block +6%										17																																6																																			°€	41	50	17
2116	Block +7%										17																																7																																			°€	51	60	17
2117	Block +8%										17																																8																																			°€	61	70	17
2118	Block +9%										17																																9																																			°€	71	80	17
2119	Block +10%										17																																10																																			°€	81	90	17
2120	Block +11%										17																																11																																			°€	91	99	17
2121	Primary Attributes +5										19																																													5	5	5	5	5																		°€	1	10	19
2122	Primary Attributes +6										19																																													6	6	6	6	6																		°€	11	20	19
2123	Primary Attributes +7										19																																													7	7	7	7	7																		°€	21	30	19
2124	Primary Attributes +8										19																																													8	8	8	8	8																		°€	31	40	19
2125	Primary Attributes +9										19																																													9	9	9	9	9																		°€	41	50	19
2126	Primary Attributes +10										19																																													10	10	10	10	10																		°€	51	60	19
2127	Primary Attributes +11										19																																													11	11	11	11	11																		°€	61	70	19
2128	Primary Attributes +12										19																																													12	12	12	12	12																		°€	71	80	19
2129	Primary Attributes +13										19																																													13	13	13	13	13																		°€	81	90	19
2130	Primary Attributes +14										19																																													14	14	14	14	14																		°€	91	99	19
2131	Prismatic Resistance +2%										20																																	2	2	2	2	2																														°€	1	10	20
2132	Prismatic Resistance +3%										20																																	3	3	3	3	3																														°€	11	20	20
2133	Prismatic Resistance +4%										20																																	4	4	4	4	4																														°€	21	30	20
2134	Prismatic Resistance +5%										20																																	5	5	5	5	5																														°€	31	40	20
2135	Prismatic Resistance +6%										20																																	6	6	6	6	6																														°€	41	50	20
2136	Prismatic Resistance +7%										20																																	7	7	7	7	7																														°€	51	60	20
2137	Prismatic Resistance +8%										20																																	8	8	8	8	8																														°€	61	70	20
2138	Prismatic Resistance +9%										20																																	9	9	9	9	9																														°€	71	80	20
2139	Prismatic Resistance +10%										20																																	10	10	10	10	10																														°€	81	90	20
2140	Prismatic Resistance +11%										20																																	11	11	11	11	11																														°€	91	99	20
2141	Prismatic Damage +2										21													2	2	2	2	2																																																		°€	1	10	21
2142	Prismatic Damage +3										21													3	3	3	3	3																																																		°€	11	20	21
2143	Prismatic Damage +4										21													4	4	4	4	4																																																		°€	21	30	21
